id,line
169,Ты не Янг Треппа ты Янг Триппер
170,Любишь бухать Моей спермы выпей лох
171,Нахуй ты здесь
172,Лучше б сажал нахуй детей
173,Как Окси прелюбодей
174,Но Окси респект а тебе нет
175,Я обманул ты как Варум 
176,Читаешь в хуй а я Агутин
177,Даже при людях ебу эту сучку 
178,Букера без прилюдий
179,Мой член твой последний пууть
180,О чел у меня огромный хуй
181,Я хочу чтобы наш батл судил Юрий Дудь
182,Чтобы под шумок потом Юрию вдуть
183,Да Хованскому
184,Бля буду ебать Хованского
185,Я так буду ебать Хованского
186,Что Хованскому это понравится
187,Он прибежит и попросит ещё
188,Марионетка ёбаный чёрт
189,Ебал тебя в рот вот и весь панч
190,Смысл простой как ёб твою мать Раа
191,Флоу Бога а у Ховы рот кокан
192,Смысл простой как ёб твою мать Раа
193,Флоу Бога а у Ховы рот кокан
194,Там хуёв столько что
195,Можно взорвать с белком бомбы
196,В жопе проём огромный 
197,Там пасутся цыганские кони
198,Спрятался маленький тампон Оби
199,Помогите Ему очень больно
200,Зови меня Коба
201,Я вырежу всю твою шоблу уёбок
202,Зови мусоров ведь твой стиль
203,По любому хуёвый
204,Да Я пожираю хайп
205,А ты вырезай Замай
206,Я приду под ночью покровом
207,И вырежу себе куплет Оксимирона
208,Букер клёвый 
209,Ты как приманка для клёва
210,Я словлю на тебя гепатитвич
211,И дизлайкпогоны
212,Шараут Рифмы и панчи
213,Тут серьезные игры мальчик
214,Меня ненавидят в два раза больше тебя 
215,Ты понял кто тут самый хайповый А Раа
216,Это тебе за Гену блядь Гена держись
217,Нахуй Нахуй Букера
218,Нахуй Нахуй Нахуй Нахуй Яя йо Пррь
219,Мое лицо как Бульдогги Дог
220,Твое лицо как бульон с дерьмом
221,Я на районе я с косяком
222,Ты такой гомик что срал хуем
223,Ой ой ой
224,Ты щекочешь мой хуй бородой
225,Ты русский не надо заливать
226,Ты не Antihype я тут Антихач
227,Выебонишь на Карму 
228,Это крайне забавно
229,Ты выебонишь на всех
230,Но перед тем кидаешь шарауты
231,Буду медленно читать
232,Заебала тараторка под 140 
233,Это может делать даже сраный школьник
234,Ладно шучу Ты как я не можешь
235,Мой рэп по вене баяном воздух
236,Я веном будто Montana Бризи
237,Ты женственней чем Montana Mozee 
238,Purple да Егор Крид boys
239,Я Кости не по росту песик
240,Твой клик босый
241,Это бой с финальным Боссом
242,Заебал меня будто бы камни в кедах
243,MC Ты никогда им не был
244,Старик биты слушал с патефона
245,Да ты хрипишь будто батя Бролла
246,Мир против меня Я прав
247,Ты любил дрочить по углам
248,Курить шабить мастурбировать по боку
249,Панч как ура маваши в голову
250,Замай я слышу старый сраный беспонт
251,Выебонит тут на всех будто бабка у подъезда
252,Будто бабка у подъезда ебаный дедок 
253,Чтобы попасть на баттл ты у Яна просишь номерок
254,Мои строки обоссали тебя с ног до блядь
255,Выебонит тут на всех будто бабка у подъезда
256,Бабка у подъезда слышишь ебанный дедок
257,Чтобы попасть на баттл ты у Яна просишь номерок
258,Мои строки обоссали тебя с ног до головы
259,В твоей жопе не находят даже копы наркоты
260,Ты подумал что ты клёвый типа ебаный батый
261,Тебе нужен переводчик типа дораповодырь
262,Забрал тусу как Путин в нулевых
263,Говорю чисто по факту 
264,Я убиваю деда на битах
265,Ведь он переписал на меня свою хату Раа
266,Саня чё за хуйня Чё за всратый баттл
267,Я мечтал сражаться лишь с антихайпом СД Букером Галатом
268,Не к этому меня готовила жизнь это чё финал лиги инвалидов
269,Чё за бородатая хуета напротив ты похож на того кто выебал педофила
270,Но ладно я расскажу предысторию насчёт этого баттла
271,Короче было начало жаркого лета мы в шубах потели как могли
272,Сидел дома писал куплеты на баттл на вэйпвыставке с Млечным под биты
273,Знаете конец истории про вэйп баттл На меня напало млечное проклятье и я текст забыл
274,Пишет Ресторатор Братан нужен ещё баттл финал от Лёхи Медь все отказались нужно спасать его зад
275,Я взял время подумать ну такое пошёл в качалку гулять
276,Возвращаюсь сообщение от Лёхи Не хотелось бы с товарищами баттлить но не приходится выбирать
277,И удалил страницу в вк Лёха че за хуйня
278,Я ещё не согласился ты испугался уже сидел с трясущимися руками опрокинул солярки фужер и написал
279,Думаю ничего личного не надо в баттл есть вещи которые должны остаться между нами
280,Лёха не переживай у нас личного ноль это я не был кто на вписке тебя выебал в рот
281,Ты запутался в своих словах знакомых фактах иначе откуда эта тема типа Лёхе похуй нахуй
282,Вот так вот Лёха Знаешь точно выбирать не приходится
283,Ты мечешься с хуя на хуй будто матьбогородица оплодотворил бы хоть кто
284,Но я здесь значит баттлишь с богом выебу без проникновения и тебе станет больно
285,Твоей застрельщик карьеры всех нерожденных лайков тебя я сброшу с карьера гопник не Хаски лайка
286,Я тут Андрей Третий Рейх запеку твою тушку на ужин
287,Ты патриарх Алексгей но никому нахуй не нужен
288,Писал мне Предлагаю баттл образ против образа
289,Какой блять образ По образу тебе баттлить Гобозова
290,У меня образа нет но искусства перевоплощусь ради
291,А перед твоим образом мне стыдно будто я ебусь в храме
292,После прошлого баттла с СД Оксимирон назвал меня постмодернистом окей я каждый миг новый
293,Вчера дисс на Юрика завтра фит с Ховой
294,Каким образом ты меня одномерный баттлить решил
295,Скажешь Ты не мужик а я бля мужик
296,Вот уж точно сказанное тобой не вырубить топором
297,Но то что панчей в тебе нет не значит что ты Оксимирон
298,Писал мне Думаю у нас выйдет баттл о подходах к творчеству
299,Но ты походишь только на роль бухого отчима в двухцветный фильм Звягинцева где каждый в России монстр
300,Претенциозный и пошлый ты комик Михаил Задорнов
301,Твой подход к творчеству три раза хуй по десять отжиманий
302,Чтоб твою топку заткнуть из печи блять евреи оживали
303,Мой подход это провокация вот тебе все карты на стол
304,Я могу даже подъебать самого себя просто забаттлив с тобой
305,Ведь мне с тобой неприятно ты унылый не вру
306,Вот что значит принять вызов и вступить в игру
307,Посмотри в зеркало клоун ты Верка Сердючка
308,Бородатая женщина блять смехуечки поющий
309,Насмешка над юмором Лёха шлюха в мехах
310,Я закажу тебя на днюху себе плясать канкан
311,Твой смертельный номер под куполом блевать в толпу
312,Медведь на велосипеде сжимай мой хуй как руль
313,Мартышка с гранатой я распну тебя ведь ты акробат
314,Жонглируй яйцами моими плебеи цирка хотят
315,Мне одного тебя мало я в тишине проберусь и всю труппу передушу
316,Саня блять дай мне нормального соперника Хованского
317,Да не шучу Хованскому нужен шум
318,Пошумите для Хованского
319,Короче хочешь баттл пошёл нахуй так говорил Райтраун Раунд
320,Есть философский вопрос Кто же в самом деле Лёха такой
321,Тебя препарировали много но не залез под ребра никто
322,Ты вроде гопник с низов гоблин для модных певцов
323,Но адвокат всего хуевого как Дмитрий Певцов
324,И весь твой бандитский Петербург стрелять себе из письки в лицо
325,Полковник без звезд Папазогло тупой
326,Ты не служил ты прислуживал перед голодной толпой
327,Лебезил перед кентухами но никто там не бро
328,Может ты тот злобный доктор что берет мазок из хуев
329,Да ты любишь сжимать члены кумир твой ЗахерМазох
330,Саня знаешь мне кажется Лёха уебок со Слова
331,Не разобрать шутки за его очками никак
332,Днём безопасно высирает про говно и жопу а ночью превращается в текстовика
333,И орёт Нахуй версус там нужно хуево шутить они не понимают правильный смысл схемы и рифмы
334,Я их раскрою там всё неправда не тру а шоу
335,Пойду туда всем докажу буду шутить про хуй и жопу
336,Гениально Ночью читаешь Бодлера днём читаешь рэп
337,Ты прям один в один как твой товарищ Illumate
338,Но знаешь чё я вижу в этом теорию заговора Ты блять затаил обиду
339,Отъебись от илюмэйта пидор он принёс алфавит в Россию
340,Кстати он же перевёз Алфавита в Россию да
341,А ты че принес Хуйни на стол Чтоб на твоём фоне казались умней обывалы
342,Ты включаешь долбоеба от больших мозгов
343,Интеллектуал и одновременно быдлочок таких не бывает
344,Подписывайтесь в паблик скоро новые зашквары делайте донаты скоро не у меня новые баттлы
345,Но что ты можешь им дать Ты вторичен как кал забронзовевшая фигура
346,И даже не Ленин системы где каждый ржет но боится поднять на смех себя 
347,Ты главный представитель голоса сраки поколений
348,Но в музыке ты старовер моешься один раз в год
349,Только протух до срока годности как альбом Грибов
350,К новой религии ты подстроиться и развиться не смог
351,Да ты и не был андеграунд тебя выебал поп
352,И здесь у нас в голубом огоньке твоя жопа сияет неистово
353,Но знай единственный нормальный хейтер в бушлате была Дана Борисова
354,Знаешь может ты концептуалист Вся твоя жизнь это роли играния
355,Всегда мечтал выходить в театре на бис но одно то что ты ебанутый не значит что ты Лёха Панин
356,Ты дрочил в женском платье Сосал хуй у собаки Какой ты в пизду концептуалист
357,Ты похож на Джубили и не только еблом
358,Он тоже считает что версус это промоплатформа фабрика звезд
359,Саня он всех нас назвал пидорами
360,Платформа для хайпа хуесос Это ты так Рикки завидуешь
361,Да это уже первый канал где я в записи говорю что я ебал тебя в рот
362,И пусть я даже Замай это точно не вырежут
363,Видишь Смотри смотри я могу эксплуатировать мем
364,Но эксплуатировать мем чтобы посмеяться над мемом
365,Я записал трек про Шурыгину чтобы позлить их всех
366,Ты не успел фит с Маликовым потому что хайпить не умеешь
367,Но знаешь что всё смешалось в доме Оксимирона
368,Братуль отец родной куда пропал Возвращайся трахать мать
369,Тут маленький хуй Джарахова скоро забатлит маленький хуй
370,И переоделись те кто слал нахуй тех кто приходит на баттл чисто поржать да
371,Тут блять бывает смешно но часто не от того что каждая шутка шутка
372,И если я скажу что ты смешон то это будет не шутка Шутка
373,Ты суровый мужик поднял продажи нокиа их покупают бомжи чтоб подписаться на паблик Лёхи
374,Не не нахуй образ я верю ты прям такой
375,Стоит колом ведь кормили бролом в армейке
376,Ты стримишь как смотришь за всеми
377,Тебя покусал Дядя Мопс в очках как Rick Ross ты первый вертухайрэпер
378,И знаешь это всё объясняет стиль и быдлёж
379,Что в каждом невиновном Птахе ищешь петухов
380,Квадрат и фальшь как у Миши Круга пишет лишь медная жопа
381,И твои прямолинейные барсы это тюремная решетка
382,У меня есть инсайды както Лёха проснулся утром с раздроченной жопой даже бушлат в конче утонул
383,Коллеги прибегают и спрашивают Кто это сделал Лёха
384,И он закричал Караул
385,У тебя синдром охранника у тебя даже есть личный шлагбаум
386,Сидишь за монитором и за всеми нами палишь
387,У тебя даже есть корочка На залупе Ты Алексей Анальный
388,Тьфу на тебя ты всё врешь
389,Царь баттлов без короны твой стул трон с хуями Примерь Раунд
390,Лёха блять зачем ты здесь В чём перформанса суть
391,Покажи жопу если хочешь веселить толпу
392,А она ржёт над тобой но вряд ли ты на это рассчитывал
393,И я не про очко твоё но тут ты у корыта разбитого
394,Ты пресмыкающееся перед просмотрами на хайп концерт
395,Но я буду только в плюсе если моё ебло на монтаже перекроют Ты пришёл чтото рекламровать через свой дебильный текст
396,Знай нормальные пацаны тут ради финала ПохоронилТирэпс Ты бился с Лукашенко как лев
397,Чтобы в основу влезть картошку съел но с хайпа так и не заработал на хлеб
398,Баттлишь всегда перед кемто Эрнесто Гнойный картавый жид
399,На разогреве всегда но один лишь твой пукан горит
400,Тут был электромонтёр а я микроэлектронщик известно
401,Засуну тебе в жопу паяльник чтоб спалить твой центральный процессор
402,Затрону всё что тебе дорого заставлю твою память долго страдать
403,Я по образованию физик а значит жму от груди больше тебя
404,А твоя мать плата За ошибки деда
405,Он выебал тушенку и дал старт династии медной
406,Медь dynasty тварь
407,Но как банку не крути не поймёшь там мальчик или девочка
408,Твой братик Мози Монтана а сестра Монеточка
409,Видишь Лёха я охуенный шутник настолько что не смешно
410,Но твоим существованием на баттлах блять опошлено всё
411,Твои мысли отсуствуют шутки гумус для либералов и даунов
412,Вторые не догоняют первые думают больше чем надобно
413,И ты мечешься мечешься влог стрим
414,Ты вроде викинг но внутри тёпленький Гольфстрим
415,И твой бушлат тебе нужен играть в танки на кб
416,И ты погибнешь не в бою а когда выключат интернет
417,Да а в интернете ты кто Ведущий передачи Разбор помётов
418,Копроспециалист Лёха работник года
419,А ты знаешь что через 100 лет переработанной биоорганикой фекалиями как в матрице будут спасать от голода планету
420,Ведь там есть неусвоенный материал я зову тебя Лёха 40 процентов
421,Ты блять точно из будущего пришёл чтобы нас кормить говном
422,Чтото шипишь будто залить карбид водой
423,Для них это битва года за звание самый хуевый
424,Но мне похуй это по кайфу ведь я рэпер в битвах рождённый
425,Из тех времен когда рэп было стыдно когда пиздили широкоштанных
426,Тебе же нужно их одобрение чтоб тебя уважали Но за что Тебя нет
427,Ты пустышка пшик чё то жужжишь тебя не слышно муха навозная Вжик
428,Упрекал аббу что баттлрэперу всегда доказать чтото свербит но я вижу чтоб ты пахал как рабы до горба на спинах
429,Ты заложник слабого образа сам себе террорист и раскрутишься лишь на хую как модный ебаный спиннер
430,Чё уж говорить Лёха ты диссил Скруджи тебе ответил Иллюмейт блаженный Deepexsense
431,Ты всегда себе выбираешь чтото протухшее в ужин но в баттле коллег тебе насрал бы на лицо даже рэпер Face
432,Таких как ты я зову Сеймур всем похуй на тебя чмо
433,Ты переигрываешь недоигрываешь плюсминус на выходе ноль
434,Отожмись тряпка я тут лейтенант младший мальчик молодой все хотят потанцевать со мной прикинь
435,Тебя ж хотят отпиздить ты даже снял сериал сладкий Зелёный Слоник 9 скоро во всех парашах страны
436,Ты блять рождён быть популярным ютуб любит фриков но ты не Лёха Техник друг ты Паша Микус
437,Даже в соревновании уебков ты самый никчемный только обмазавшись в конче ты добьешься партнерки
438,Идеальный киногерой о тебе снимет фильм Саша Спилберг Взломать очко Лёхи Медь за 5 секунд 2
439,Гениальная актерская игра призы Кинотавр Ника
440,Ты добился чего хотел так и вижу постер твоя огромная срака размером с фасад Шоколад не виноват
441,Раунд
442,Х Хан Замай З Заебатсу Г Гнойный Птичий Пепел Д Джиглипуф МЦ Ф Фаллен MC Ч Дэн Чейни
443,Ч Эйоу салют всем это SLOVOSPB с вами его ведущий Дэн Чейни у нас блиц 2 на 2 Питер сделайте максимум шума
444,Итак участники слева от меня представьтесь
445,Х Тот самый Хан что этим лошкам все текста писал СУКА
446,З Заебатсу aka Сафон дэ Бледуар эти пидоры поплатятся за свой пиздёж ПОШЁЛ НА ХУЙ
447,Ч Участники справа представьтесь
448,Г ЭЙОУ Дибуны сквуад электриксити Птичий Пепел aka еслияхаркнутебевротзаражутвоюсукутубиком
449,Лучший battle MC Петербурга ну конечно же ПОСЛЕ JUBILEE
450,Д Джиглипуф MC aka повелитель ваших кисок Ты спросишь какого хуя против вас ноунэймом прошёл по блату Man против тебя лучший battle МЦ Петербурга ну конечно же про после Галата блядь
451,Ч А по итогам жеребьёвки начинают Замай и Заебатсу Питер встречаем их раунд
452,З Друзья у меня к вам такое все устали давайте просто сейчас повеселимся да но сейчас немного будет тупо и скучно но перетерпите главное хорошо Пасибо можно аплодисменты
453,Андрей и Анзор друзья
454,Мы взрослые и солидные дяди но против лишь унылые гомики
455,И вы нам чтонибудь скажете Но ничего не выйдет потому что мы в домике
456,Х МЫ В ДОМИКЕ СУКА БЛЯДЬ Да вы В ДОМИКЕ
457,З Да вы нам
458,Да вы нам чтонибудь попиздите там но вместо этого лучше оближите яйца
459,Ведь все знают что кто обзывается тот сам так и называется е
460,Х ТОТ ТАК САМ И НАЗЫВАЕТСЯ ПИДОР
461,З Первое слово съела корова я бэд бой
462,И за свой вздор вы поплатитесь сракой
463,Ведь я настолько плохой
464,Что не помогаю маме и не гуляю с собакой
465,Х НЕ ПОМОГАЕШЬ И НЕ ГУЛЯЕШЬ С СОБАКОЙ ПИДОР
466,З Мне часто пишут суки и говорят Эй Заебатсу у тебя нет флоу
467,Щас я вам покажу как грайм читает Анзорчик броу
468,Вы должны мне помочь вы поймёте о чём я
469,Анзор стелит
470,Чё съели
471,Новый игрок
472,Спасибо спасибо вы лучшая публика Короче делаете так подпеваете вы блядь слов не знаете
473,Д Охуенно я знаю я подпеваю
474,З ДАВАЙ
475,Анзор стелит
476,Чё съели
477,Новый игрок в деле
478,На батле две недели всех запомнил еле еле
479,Денис это гора
480,Димон это Галат
481,Вараб это Вараб
482,И во все города Анзор аккапелла забайтил стиль классный
483,Ебу на батле я Славу без грамма
484,Зал Смазки
485,Д Аааай
486,З Всё затихли щас будет ещё острее
487,И эту хуйню я написал чисто по приколу
488,И весь твой ебучий грайм маг будто въебал волшебного зелья
489,Но каждый панч ему кажется второсортным зачитает его медленно и членораздельно
490,Её синие выделения называю вагинальные смурфики
491,И это по твоему годный юморок
492,Я блядь оглох ебаный лох
493,Анальный Прометей Вагинальный дед мороз панчить как я и Чейни года 2 назад это твой удел ёбаный фрик
494,И пусть у тебя нет пупка на затылке но вот тебе хуй ЗА ВОРОТНИК
495,З ПИДОР
496,Ф Это мой маленький талисманчеег
497,З Вещий сон и эту хуйню я написал чисто по приколу
498,Слава а теперь просто представь что однажды лет пять назад ты обкурился так что впал в кому
499,И все мы ой мама
500,Все мы лишь проекция твоего дурного сознания homie
501,Ты варишься в том же дерьме изо дня в день вся твоя жизнь больная фантазия
502,Для тебя будет открытием ты не брал первый сезон ты взял премию Дарвина
503,Тебе кажется ты в Питере но тебя там нет
504,Как и нет твоей ебучей шайки и Дэна
505,Ты лежишь на койке в Хабаровском крае
506,Тебе пускают хлебный мякиш под вену
507,Но я тебе расскажу как всё обстоит на самом деле
508,Там где нас нет по улицам ходят карлики в лосинах
509,В реальном мире не надо вводить двойку прежде чем зайти на Joycasino
510,Джобс жив Цой мёртв с улиц исчезли напасики
511,Федя взял Versus Fresh Blood а hiphopru би буэээ блядь
512,
513,hiphopru переехал на Одноклассники
514,Так что спи Слава будет последняя новость
515,и ты вскроешься как то ещё дерьмо
516,На самом деле Бабан не умер от ВИЧа
517,а записался в местный альбом с грайм MC REDO
518,Х Сука Ну как тебе это А
519,Ф Пидарряс ебаный
520,З Пидор
521,Д Это сильно пацаны но вы петухи
522,Х Теперь к тебе пидор
523,Д Давай
524,Х Эйоу
525,ОБИ ВАН Смоки МО Скриптонит Джиглипуф МЦ
526,Да назовись хоть Винни Пух ведь ты опух в яйце
527,Мечтал узнать кто дрочил туда Пенкин Невзоров
528,Тебя взрастили как лобковую вошь на волосатом яйце Анзора пидор
529,Это твой отец сука
530,З ПИДОР
531,Д Этот
532,З Ты пидор
533,Х Это твой отец
534,Д окей
535,Х Не не эйоу
536,Но я не намекаю что ты сраный гомункул ты радость для трупов
